time,temperature,vol1,vol2
26.850,299.4,0.844,-0.468
26.900,299.4,0.844,-0.468
26.950,299.4,0.844,-0.468
27.000,299.4,0.844,-0.468
27.050,299.4,0.844,-0.468
27.100,299.4,0.844,-0.468
27.150,299.4,0.844,-0.468
27.200,299.4,0.844,-0.468
27.250,299.4,0.844,-0.468
27.300,299.4,0.844,-0.468
27.350,299.4,0.844,-0.468
27.400,299.4,0.844,-0.468
27.450,299.4,0.844,-0.468
27.500,299.4,0.849,-0.468
27.550,299.4,0.844,-0.468
27.600,299.4,0.849,-0.468
27.650,299.4,0.849,-0.468
27.700,299.4,0.849,-0.468
27.750,299.4,0.849,-0.474
27.800,299.4,0.849,-0.468
27.850,299.4,0.849,-0.468
27.900,299.4,0.844,-0.468
27.950,299.4,0.844,-0.474
28.000,299.4,0.844,-0.468
28.050,299.4,0.844,-0.468
28.100,299.4,0.844,-0.468
28.150,299.4,0.849,-0.468
28.200,299.4,0.844,-0.468
28.250,299.4,0.844,-0.468
28.300,299.4,0.844,-0.468
28.350,299.4,0.844,-0.468
28.400,299.4,0.844,-0.468
28.450,299.4,0.844,-0.468
28.500,299.4,0.844,-0.468
28.550,299.4,0.849,-0.468
28.600,299.4,0.844,-0.468
28.650,299.4,0.844,-0.468
28.700,299.4,0.844,-0.468
28.750,299.4,0.844,-0.468
28.800,299.4,0.844,-0.468
28.850,299.4,0.849,-0.468
28.900,299.4,0.849,-0.468
28.950,299.4,0.844,-0.468
29.000,299.4,0.849,-0.468
29.050,299.4,0.849,-0.468
29.100,299.4,0.849,-0.468
29.150,299.4,0.844,-0.468
29.200,299.4,0.844,-0.468
29.250,299.4,0.844,-0.468
29.300,299.4,0.849,-0.468
29.350,299.4,0.849,-0.468
29.400,299.4,0.844,-0.468
29.450,299.4,0.844,-0.468
29.500,299.4,0.844,-0.468
29.550,299.4,0.844,-0.468
29.600,299.4,0.844,-0.468
29.650,299.4,0.844,-0.468
29.700,299.4,0.844,-0.468
29.750,299.4,0.844,-0.468
29.800,299.4,0.844,-0.468
29.850,299.4,0.844,-0.468
29.900,299.4,0.844,-0.468
29.950,299.4,0.844,-0.468
30.000,299.4,0.844,-0.468
30.050,299.4,0.844,-0.468
30.100,299.4,0.844,-0.468
30.150,299.4,0.849,-0.468
30.200,299.4,0.849,-0.468
30.250,299.4,0.844,-0.468
30.300,299.4,0.844,-0.468
30.350,299.4,0.844,-0.468
30.400,299.4,0.849,-0.468
30.450,299.4,0.844,-0.468
30.500,299.4,0.849,-0.468
30.550,299.4,0.849,-0.468
30.600,299.4,0.844,-0.464
30.650,299.4,0.844,-0.468
30.700,299.4,0.849,-0.468
30.750,299.4,0.844,-0.468
30.800,299.4,0.844,-0.468
30.850,299.4,0.844,-0.474
30.900,299.4,0.844,-0.468
30.950,299.4,0.844,-0.468
31.000,299.4,0.844,-0.468
31.050,299.4,0.844,-0.468
31.100,299.4,0.844,-0.468
31.150,299.4,0.844,-0.474
31.200,299.4,0.844,-0.468
31.250,299.4,0.844,-0.468
31.300,299.4,0.844,-0.468
31.350,299.4,0.844,-0.468
31.400,299.4,0.844,-0.468
31.450,299.4,0.844,-0.468
31.500,299.4,0.849,-0.468
31.550,299.4,0.849,-0.468
31.600,299.4,0.844,-0.468
31.650,299.4,0.849,-0.468
31.700,299.4,0.849,-0.468
